SpCode,ScientificName,CommonName,Family,Lifespan,GrowthForm,Native,questions
acaccons,Acacia constricta,Whitethorn acacia,Fabaceae,perennial,shrub,1,
acacgreg,Acacia greggii,Catclaw acacia,Fabaceae,perennial,shrub,1,
acacspp,Acacia spp.,No white thorns,Fabaceae,perennial,shrub,1,
alliinca,Allionia incarnata,Trailing windmills,Nyctaginaceae,perennial,forb,1,
amaracan,Amaranthus acanthochiton,Greenstripe,Amaranthaceae,annual,forb,1,
amarpalm,Amaranthus palmeri,carelessweed,Amaranthaceae,annual,forb,1,
ambrarte,Ambrosia artemisiifolia,annual ragweed,Asteraceae,annual,forb,1,
ammochen,Ammocodon chenopodioides,Goosefoot monopod,Nyctaginaceae,perennial,forb,1,
apodundu,Apodanthera undulata,Melon loco,Cucurbitaceae,perennial,forb,1,
arisadsc,Aristida adscensionis,sixweeks threeawn,Poaceae,annual,grass,1,
arishamu,Aristida hamulosa,Mesa threeawn,Poaceae,perennial,grass,1,
arislong,Aristida longiseta,Purple threeawn,Poaceae,perennial,grass,1,
atriacan,Atriplex acanthocarpa,Saltbush,Chenopodiaceae,perennial,subshrub,1,shrub
atriwrig,Atriplex wrightii,Wright's saltbush,Chenopodiaceae,annual,forb,1,
atrispp,Atriplex spp.,Unknown saltbush,Chenopodiaceae,NULL,forb,1,
bahiabsi,Bahia absinthifolia,Sageleaf Bahia,Asteraceae,perennial,forb,1,
bahibite,Bahia biternata,slimlobe bahia,Asteraceae,annual,forb,1,
bailmult,Baileya multiradiata,desert marigold,Asteraceae,annual,forb,1,
boercocc,Boerhavia coccinea,Garnet spiderling,Nyctaginaceae,perennial,forb,1,
boercout,Boerhavia coulteri,Coulter's spiderling,Nyctaginaceae,annual,forb,1,
boerinte,Boerhavia intermedia,firewing spiderling,Nyctaginaceae,annual,forb,1,
boerspic,Boerhavia spicata,creeping spiderling,Nyctaginaceae,annual,forb,1,
boerspp,Boerhavia spp.,NULL,Nyctaginaceae,annual,forb,1,
boertorr,Boerhavia torreyana,creeping spiderling,Nyctaginaceae,annual,forb,1,
bothbarb,Bothriochloa barbinodis,Cane bluestem,Poaceae,perennial,grass,1,
boutaris,Bouteloua aristidoides,needle grama,Poaceae,annual,grass,1,
boutbarb,Bouteloua barbata,sixweeks grama,Poaceae,annual,grass,1,
bouterio,Bouteloua eriopoda,Black grama,Poaceae,perennial,grass,1,
boutspp,Bouteloua spp.,NULL,Poaceae,annual,grass,1,
braydens,Brayulinea densa,Small matweed ,Amaranthaceae,perennial,forb,1,
cassbauh,Cassia bauhinioides,Twinleaf senna,Fabaceae,perennial,subshrub,1,forb
casslept,Cassia leptadenia,sensitive partridge pea,Fabaceae,annual,forb,1,
chenfrem,Chenopodium fremontii,Fremont's goosefoot,Chenopodiaceae,annual,forb,1,
chlovirg,Chloris virgata,feather fingergrass,Poaceae,annual,grass,1,
cirsneom,Cirsium neomexicanum,New Mexico thistle,Asteraceae,perennial,forb,1,
commerec,Commelina erecta,Whitemouth daisyflower,Commelinaceae,perennial,forb,1,
crotcory,Croton corymbulosa,Leatherweed,Eurphorbiaceae,perennial,subshrub,1,forb
crotpumi,Crotalaria pumila,low rattlebox,Poaceae,annual,forb,1,Fabaceae
cuscspp,Cuscuta spp.,NULL,Cuscutaceae,annual,forb,1,
dalebrac,Dalea brachystachya,Fort Bowie prairie clover,Fabaceae,annual,forb,1,
dalenana,Dalea nana,Dwarf prairie clover,Fabaceae,perennial,forb,1,
dalepogo,Dalea pogonathera,Bearded prairie clover,Fabaceae,perennial,forb,1,
dichpulc,Dichelostemma pulchellum,Blue Dicks,Liliaceae,perennial,forb,1,
dithwisl,Dimorphocarpa (Dithyrea) wislizenii,spectaclepod,Brassicaceae,annual,forb,1,
dysspent,Dyssodia pentachaeta,Fiveneedle pricklyleaf,Asteraceae,perennial,subshrub,1,forb
ennedesv,Enneapogon desvauxii,Nineawn pappusgrass,Poaceae,perennial,grass,1,
ephetrif,Ephedra trifurca,Longleaf jointfir,Ephedraceae,perennial,shrub,1,
eragarid,Eragrostis pectinaceae (arida),desert lovegrass,Poaceae,annual,grass,1,
eragcili,Eragrostis cilianensis,stinkgrass,Poaceae,annual,grass,0,
eraginte,Eragrostis intermedia,plains lovegrass,Poaceae,perennial,grass,1,
eraglehm,Eragrostis lehmanniana,Lehmann’s lovegrass,Poaceae,perennial,grass,0,
eragspp,Eragrostis species,NULL,Poaceae,NULL,grass,2,
erigdive,Erigeron divergens,spreading fleabane,Asteraceae,annual,forb,1,
erioaber,Eriogonum abertianum,Abert's buckwheat,Polygonaceae,annual,forb,1,
eriolemm,Eriochloa lemmoni,canyon cupgrass,Poaceae,annual,grass,1,
eriopoly,Eriogonum polycladon,sorrel buckwheat,Polygonaceae,annual,forb,1,
erodcicu,Erodium cicutarium,redstem stork's bill,Geraniaceae,annual,forb,1,
euphexst,Euphorbia exstipulata,squareseed spurge,Euphorbiaceae,annual,forb,1,
euphfend,Euphorbia fendleri,Fendler's sandmat,Euphorbiaceae,annual,forb,1,perennial
euphmicr,Euphorbia micromera,Sonoran sandmat,Euphorbiaceae,annual,forb,1,
euphserp,Euphorbia serpyllifolia,thymeleaf sandmat,Euphorbiaceae,annual,forb,1,
euphserr,Euphorbia serrula,sawtooth sandmat,Euphorbiaceae,annual,forb,1,
eurolana,Eurotia lanata,Winterfat,Chenopodiaceae,perennial,shrub,1,
floucern,Flourensia cernua,Tarbush,Asteraceae,perennial,shrub,1,
grassunkn,Unknown grass,NULL,Poaceae,annual,grass,2,
gutisaro,Gutierrezia sarothrae,Snakeweed,Asteraceae,perennial,subshrub,1,
haplgrac,Machaeranthera (Haplopappus) gracilis,slender goldenweed,Asteraceae,annual,forb,1,
happspin,Happlopappus spinulosus,Lacy tansyaster,Asteraceae,perennial,subshrub,1,
happtenu,Happlopappus tenuisectus,Burroweed,Asteraceae,perennial,subshrub,1,forb
hilamuti,Hilaria mutica,Tobosa grass,Poaceae,perennial,grass,1,
hoffdens,Hoffmanseggia densiflora,Hog potato,Fabaceae,perennial,subshrub,1,forb
ipomcost,Ipomoea costellata,crestrib morning glory,Convolvulaceae,annual,forb,1,
ipompurp,Ipomoea purpurea,tall morning-glory,Convolvulaceae,annual,forb,0,
ipomspp,Ipomoea species,NULL,Convolvulaceae,annual,forb,2,
kallgran,Kallstroemia grandiflora,Arizona poppy,Zygophyllaceae,annual,forb,1,
lycitorr,Lycium torreyi,Torrey wolfberry,Solanaceae,perennial,shrub,1,
lycuphle,Lycurus phleoides,Wolf tail,Poaceae,perennial,grass,1,
machtanr,Machaeranthera tanacetifolia,tansyleaf tansyaster,Asteraceae,annual,forb,1,
mollcerv,Mollugo cerviana,threadstem carpetweed,Molluginaceae,annual,forb,0,
mollspp,Mollugo spp.,NULL,Molluginaceae,annual,forb,2,
mollvert,Mollugo verticillata,green carpetweed,Molluginaceae,annual,forb,1,
muhlport,Muhlenbergia porteri,Bush Muhly,Poaceae,perennial,grass,1,
opunspp,Opuntia spp.,Prickly pear,Cactaceae,perennial,shrub,1,
paniariz,Urochloa (Panicum) arizonica,Arizona signalgrass,Poaceae,annual,grass,1,
panihirt,Panicum hirticaule,Mexican panicgrass,Poaceae,annual,grass,1,
panimili,Panicum miliaceum,broomcorn millet,Poaceae,annual,grass,0,
panispp,Panicum spp.,NULL,Poaceae,annual,grass,2,
partinca,Parthenium incanum,Mariola,Asteraceae,perennial,shrub,1,
pectpapp,Pectis papposa,manybristle chinchweed,Asteraceae,annual,forb,1,
perenana,Perezia nana,Dwarf desert holly,Asteraceae,perennial,forb,1,
polytwee,Polygala tweedyi,Shrubby milkwort,Polygalaceae,perennial,subshrub,1,forb
portparv,Portulaca parvula,silkcotton purslane,Portulacaceae,annual,forb,1,
portspp,Portulaca spp.,NULL,Portulacaceae,annual,forb,1,
portsuff,Portulaca suffrutescens,Shrubby purslane,Portulacaceae,perennial,subshrub,1,forb
probparv,Proboscidea parviflora,devil's claw,Pedaliaceae,annual,forb,1,
prosglan,Prosopis glandulosa,Mesquite,Fabaceae,perennial,shrub,1,
rumealti,Rumex altissimus,Smooth dock,Polygonaceae,perennial,forb,1,
rumeangu,Rumex angustifolium/crispus,Curly dock,Polygonaceae,perennial,forb,0,
rumehyme,Rumex hymenosepalus,Desert dock,Polygonaceae,perennial,forb,1,
salskali,Salsola kali,Russian thistle,Chenopodiaceae,annual,forb,0,
sanvaber,Sanvitalia aberti,Abert's creeping zinnia,Asteraceae,annual,forb,1,
setamacr,Setaria macrostachya,Bristle grass,Poaceae,perennial,grass,1,
sidaphys,Sida physocalyx,Buffpetal,Malvaceae,perennial,subshrub,1,forb
sidaproc,Sida procumbens,Spreading fanpetals,Malvaceae,perennial,forb,0,
sidaspin,Sida spinosa,prickly fanpetals,Malvaceae,annual,forb,1,
sidaspp,Sida spp.,NULL,Malvaceae,annual,forb,1,
sitahyst,Sitanion hystrix,Squirreltail,Poaceae,perennial,grass,1,
solaelea,Solanum elaeagnifolium,Silverleaf nightshade,Solanaceae,perennial,subshrub,1,forb
sperechi,Spermolepis echinata,Bristly scaleseed,Apiaceae,perennial,forb,1,
sphasp1,Sphaeralcea spp.,NULL,Malvaceae,perennial,NULL,1,
sphaangu,Sphaeralcea angustifolia,Copper globemallow,Malvaceae,perennial,subshrub,1,forb
sphalaxa,Sphaeralcea laxa,Caliche globemallow,Malvaceae,perennial,subshrub,1,forb
sphafend,Sphaeralcea fendleri,Fendler's globemallow,Malvaceae,perennial,subshrub,1,forb
sporcont,Sporobolus contractus,Spike dropseed,Poaceae,perennial,grass,1,
stepexig,Stephanomeria exigua,Small wirelettuce,Asteraceae,perennial,forb,1,
taliangu,Phemeranthus (Talinum) aurantiacus (angustissimum),orange fameflower,Portulacaceae,annual,forb,1,perennial
taliaura,Talinum aurantiacum (angustissimum?),Orange flamethrower,Portulacaceae,perennial,forb,1,subshrub
taliaura,Phemeranthus (Talinum) aurantiacus (aurantiacum),orange fameflower,Portulacaceae,annual,forb,1,perennial
tetrcoul,Tetraclea coulteri,Coulter’s wrinkle fruit,Verbenaceae,perennial,subshrub,1,forb
tidelanu,Tidestromia lanuginosa,woolly tidestromia,Amaranthaceae,annual,forb,1,
tragbert,Tragus berteronianus,spiked bur grass,Poaceae,annual,grass,0,
triaport,Trianthema portulacastrum,desert horsepurslane,Aizoaceae,annual,forb,1,
triccali,Trichachne californica,Arizona cottontop,Poaceae,perennial,grass,1,
tridpulc,Tridens pulchellum,Fluff grass,Poaceae,perennial,grass,1,
unknspp,Unknown spp.,NULL,NULL,annual,,NULL,
verbence,Verbesina encelioides,golden crownbeard,Asteraceae,annual,forb,1,
vulpocto,Vulpia octoflora,Sixweeks fescue,Poaceae,perennial,grass,1,annual
yuccelat,Yucca elata,Soaptree yucca,Agavaceae,perennial,shrub,1,
zinngran,Zinnia grandiflora,Wild zinnia,Asteraceae,perennial,subshrub,1,forb
zinnpumi,Zinnia pumila,Desert zinnia,Asteraceae,perennial,subshrub,1,forb
dirt,NULL,not living plant,NULL,NULL,NULL,NULL,
rock,NULL,rocks,NULL,NULL,NULL,NULL,
sarahsgrass,NULL,unknown smelly grass,Poaceae,NULL,grass,2,
dead,NULL,dead plants,NULL,NULL,NULL,NULL,
redunk,NULL,Red unknown,NULL,NULL,forb,2,
cowpie,NULL,Cattle dung,NULL,NULL,NULL,NULL,
thisgrass,NULL,Unknown grass,Poaceae,NULL,grass,2,
